scenario,N,method,metric,mean,sd,ci95_low,ci95_high
corridor,200,alns_no_refine,p5_rate_Mbps,14.364674,4.4457593,12.704787,16.024561
corridor,200,alns_no_refine,qos_violation,0,0,0,0
corridor,200,alns_no_refine,jain_fairness,0.76271463,0.051979942,0.74330718,0.78212208
corridor,200,alns_no_refine,time_s,0.017433333,0.0013565507,0.016926846,0.017939821
corridor,200,alns_sca_lite,coverage,1,0,1,1
corridor,200,alns_sca_lite,K,12.266667,0.78491525,11.973607,12.559726
corridor,200,alns_sca_lite,throughput_Mbps,11068.109,852.18521,10749.934,11386.285
corridor,200,alns_sca_lite,mean_user_rate_Mbps,55.340547,4.2609261,53.74967,56.931424
corridor,200,alns_sca_lite,p5_rate_Mbps,18.001129,2.5393685,17.05302,18.949239
corridor,200,alns_sca_lite,qos_violation,0,0,0,0
corridor,200,alns_sca_lite,jain_fairness,0.8067889,0.024708238,0.79756373,0.81601407
corridor,200,alns_sca_lite,time_s,0.031966667,0.0022966743,0.031109171,0.032824163
corridor,200,fixed_gno_refine,coverage,1,0,1,1
corridor,200,fixed_gno_refine,K,20,0,20,20
corridor,200,fixed_gno_refine,throughput_Mbps,8321.2945,581.97555,8104.0057,8538.5834
corridor,200,fixed_gno_refine,mean_user_rate_Mbps,41.606473,2.9098778,40.520028,42.692917
corridor,200,fixed_gno_refine,p5_rate_Mbps,18.311672,1.1894161,17.867587,18.755758
corridor,200,fixed_gno_refine,qos_violation,0,0,0,0
corridor,200,fixed_gno_refine,jain_fairness,0.83805576,0.021781384,0.82992337,0.84618815
corridor,200,fixed_gno_refine,time_s,0.0197,0.0019145541,0.018985174,0.020414826
corridor,200,gno,coverage,1,0,1,1
corridor,200,gno,K,20,0,20,20
corridor,200,gno,throughput_Mbps,5278.9463,279.61594,5174.5477,5383.3449
corridor,200,gno,mean_user_rate_Mbps,26.394732,1.3980797,25.872739,26.916725
corridor,200,gno,p5_rate_Mbps,13.394923,0.9774193,13.029989,13.759856
corridor,200,gno,qos_violation,0,0,0,0
corridor,200,gno,jain_fairness,0.82336617,0.047358826,0.80568408,0.84104826
corridor,200,gno,time_s,0.0018666667,0.00043417249,0.0017045622,0.0020287711
corridor,200,kmeans_grid,coverage,0.88033333,0.043389442,0.86413327,0.8965334
corridor,200,kmeans_grid,K,10,0,10,10
corridor,200,kmeans_grid,throughput_Mbps,11473.277,867.99916,11149.197,11797.357
corridor,200,kmeans_grid,mean_user_rate_Mbps,57.366385,4.3399958,55.745986,58.986784
corridor,200,kmeans_grid,p5_rate_Mbps,0,0,0,0
corridor,200,kmeans_grid,qos_violation,0.11966667,0.043389442,0.1034666,0.13586673
corridor,200,kmeans_grid,jain_fairness,0.66510008,0.049698425,0.64654447,0.6836557
corridor,200,kmeans_grid,time_s,0.0016,0.00049827288,0.0014139627,0.0017860373
corridor,200,pso_high_12x16,coverage,0.99966667,0.0012685407,0.99919304,1.0001403
corridor,200,pso_high_12x16,K,12.266667,0.78491525,11.973607,12.559726
corridor,200,pso_high_12x16,throughput_Mbps,3028.2017,646.0708,2786.982,3269.4214
corridor,200,pso_high_12x16,mean_user_rate_Mbps,15.141009,3.230354,13.93491,16.347107
corridor,200,pso_high_12x16,p5_rate_Mbps,1.4967371,0.85241491,1.1784759,1.8149983
corridor,200,pso_high_12x16,qos_violation,0.00033333333,0.0012685407,-0.00014029435,0.00080696101
corridor,200,pso_high_12x16,jain_fairness,0.51213707,0.10235276,0.47392222,0.55035193
corridor,200,pso_high_12x16,time_s,0.1336,0.031206321,0.12194868,0.14525132
corridor,200,pso_low_3x4,coverage,0.96,0.035428413,0.9467723,0.9732277
corridor,200,pso_low_3x4,K,12.266667,0.78491525,11.973607,12.559726
corridor,200,pso_low_3x4,throughput_Mbps,2611.0399,479.01588,2432.1925,2789.8873
corridor,200,pso_low_3x4,mean_user_rate_Mbps,13.055199,2.3950794,12.160962,13.949436
corridor,200,pso_low_3x4,p5_rate_Mbps,0.62721751,0.52155686,0.43248685,0.82194818
corridor,200,pso_low_3x4,qos_violation,0.04,0.035428413,0.026772299,0.053227701
corridor,200,pso_low_3x4,jain_fairness,0.44300696,0.097481266,0.40661094,0.47940297
corridor,200,pso_low_3x4,time_s,0.0089,0.001348051,0.008396686,0.009403314
corridor,200,pso_mid_6x8,coverage,0.99233333,0.010645813,0.98835857,0.9963081
corridor,200,pso_mid_6x8,K,12.266667,0.78491525,11.973607,12.559726
corridor,200,pso_mid_6x8,throughput_Mbps,2467.574,467.52009,2293.0187,2642.1292
corridor,200,pso_mid_6x8,mean_user_rate_Mbps,12.33787,2.3376005,11.465094,13.210646
corridor,200,pso_mid_6x8,p5_rate_Mbps,1.0941215,0.41048163,0.94086234,1.2473806
corridor,200,pso_mid_6x8,qos_violation,0.0076666667,0.010645813,0.0036919011,0.011641432
corridor,200,pso_mid_6x8,jain_fairness,0.50829932,0.09753655,0.47188266,0.54471597
corridor,200,pso_mid_6x8,time_s,0.034466667,0.0075827997,0.031635521,0.037297813
corridor,300,alns_no_refine,coverage,1,0,1,1
corridor,300,alns_no_refine,K,17.733333,0.82768199,17.424307,18.04236
corridor,300,alns_no_refine,throughput_Mbps,9005.7671,875.58955,8678.8533,9332.6809
corridor,300,alns_no_refine,mean_user_rate_Mbps,30.019224,2.9186318,28.929511,31.108936
corridor,300,alns_no_refine,p5_rate_Mbps,11.051506,2.5097707,10.114448,11.988565
corridor,300,alns_no_refine,qos_violation,0,0,0,0
corridor,300,alns_no_refine,jain_fairness,0.78664477,0.051647774,0.76736134,0.80592821
corridor,300,alns_no_refine,time_s,0.038833333,0.0017827397,0.038167722,0.039498945
corridor,300,alns_sca_lite,coverage,1,0,1,1
corridor,300,alns_sca_lite,K,17.233333,0.81720015,16.92822,17.538447
corridor,300,alns_sca_lite,throughput_Mbps,13147.587,644.86351,12906.818,13388.356
corridor,300,alns_sca_lite,mean_user_rate_Mbps,43.825291,2.149545,43.022728,44.627855
corridor,300,alns_sca_lite,p5_rate_Mbps,14.575717,3.6848237,13.199935,15.951498
corridor,300,alns_sca_lite,qos_violation,0,0,0,0
corridor,300,alns_sca_lite,jain_fairness,0.79861855,0.021653025,0.79053409,0.80670302
corridor,300,alns_sca_lite,time_s,0.068133333,0.0032666901,0.066913668,0.069352999
corridor,300,fixed_gno_refine,coverage,1,0,1,1
corridor,300,fixed_gno_refine,K,30,0,30,30
corridor,300,fixed_gno_refine,throughput_Mbps,9151.7744,379.70918,9010.0046,9293.5442
corridor,300,fixed_gno_refine,mean_user_rate_Mbps,30.505915,1.2656973,30.033349,30.978481
corridor,300,fixed_gno_refine,p5_rate_Mbps,14.910959,0.79870642,14.612751,15.209167
corridor,300,fixed_gno_refine,qos_violation,0,0,0,0
corridor,300,fixed_gno_refine,jain_fairness,0.83676323,0.02505805,0.82740745,0.84611901
corridor,300,fixed_gno_refine,time_s,0.0371,0.0018070742,0.036425303,0.037774697
corridor,300,gno,coverage,1,0,1,1
corridor,300,gno,K,30,0,30,30
corridor,300,gno,throughput_Mbps,5170.9377,202.55908,5095.3094,5246.566
corridor,300,gno,mean_user_rate_Mbps,17.236459,0.67519694,16.984365,17.488553
corridor,300,gno,p5_rate_Mbps,9.7755976,0.49599325,9.5904115,9.9607837
corridor,300,gno,qos_violation,0,0,0,0
corridor,300,gno,jain_fairness,0.86362189,0.050784315,0.84466084,0.88258293
