factor,level,seed,coverage,K,throughput_Mbps,p5_rate_Mbps,jain_fairness,time_s
qos_rmin_mbps,2,20025,1.00000000,29,25888.02525336,16.94816997,0.76674190,0.07900000
qos_rmin_mbps,2,20026,0.97000000,29,5107.32396493,2.54880209,0.51385248,0.08600000
qos_rmin_mbps,2,20027,0.99250000,35,6065.16974704,3.25804296,0.49590490,0.09200000
qos_rmin_mbps,2,20028,0.99750000,33,20542.84249017,12.34624698,0.73550458,0.07700000
qos_rmin_mbps,2,20029,0.98500000,29,3943.54575165,2.63930600,0.54526385,0.08300000
qos_rmin_mbps,5,20000,0.90000000,29,5034.52699915,0.00000000,0.55685090,0.07800000
qos_rmin_mbps,5,20001,0.98250000,29,27565.57534594,13.87236111,0.76313153,0.07700000
qos_rmin_mbps,5,20002,0.99500000,29,27227.65352960,17.36712463,0.78585212,0.07800000
qos_rmin_mbps,5,20003,0.99750000,33,24398.72393233,16.06107877,0.76135855,0.08300000
qos_rmin_mbps,5,20004,1.00000000,29,27253.22330313,16.67032723,0.78274439,0.07400000
qos_rmin_mbps,5,20005,0.96500000,30,24261.43956666,11.04313717,0.75455522,0.07600000
qos_rmin_mbps,5,20006,0.88750000,31,9925.96641349,0.00000000,0.61561069,0.07800000
qos_rmin_mbps,5,20007,0.99500000,28,27392.99974871,16.56124477,0.78357355,0.07800000
qos_rmin_mbps,5,20008,0.99000000,32,25894.58083435,15.59589047,0.76522233,0.07500000
qos_rmin_mbps,5,20009,0.99500000,28,24791.74591229,16.97391952,0.79056552,0.07400000
qos_rmin_mbps,5,20010,0.99250000,32,23710.79499625,14.63059008,0.75407050,0.07700000
qos_rmin_mbps,5,20011,0.97750000,28,27112.06259539,16.36119512,0.76650768,0.07700000
qos_rmin_mbps,5,20012,0.98500000,32,23401.87044686,11.53593398,0.75347478,0.07800000
qos_rmin_mbps,5,20013,0.98500000,29,25144.74801856,16.33031638,0.77289354,0.07100000
qos_rmin_mbps,5,20014,0.91000000,30,10461.59116654,0.00000000,0.60706015,0.07900000
qos_rmin_mbps,5,20015,0.95250000,30,23300.66077633,5.23338373,0.74050836,0.07500000
qos_rmin_mbps,5,20016,0.99750000,30,27590.99795965,18.58272783,0.80591769,0.07300000
qos_rmin_mbps,5,20017,0.98750000,28,27702.84722525,16.45344680,0.78521239,0.07400000
qos_rmin_mbps,5,20018,1.00000000,30,25497.21691219,15.62871227,0.76725485,0.07400000
qos_rmin_mbps,5,20019,0.99750000,32,26867.85124410,17.00841040,0.78743182,0.07700000
qos_rmin_mbps,5,20020,0.98500000,29,26252.22088429,13.45634882,0.78120684,0.07600000
qos_rmin_mbps,5,20021,0.99500000,29,27453.63219491,18.50508561,0.78581415,0.08100000
qos_rmin_mbps,5,20022,0.97250000,29,23911.46535009,9.45921463,0.72343636,0.08100000
qos_rmin_mbps,5,20023,0.98250000,29,26014.57852031,15.82624864,0.75014916,0.07200000
qos_rmin_mbps,5,20024,0.87750000,33,11494.85310910,0.00000000,0.57206933,0.08200000
qos_rmin_mbps,5,20025,0.98000000,28,25898.40476434,13.77438783,0.76527826,0.07200000
qos_rmin_mbps,5,20026,0.89750000,31,5265.28371126,0.00000000,0.52661690,0.08500000
qos_rmin_mbps,5,20027,0.99000000,28,25333.63576180,13.97597718,0.74442097,0.07200000
qos_rmin_mbps,5,20028,0.96750000,25,24090.97644892,9.19855483,0.72840915,0.07000000
qos_rmin_mbps,5,20029,0.99250000,30,24904.11975565,13.55308140,0.75645547,0.07700000
capacity_users,10,20000,0.93000000,38,8518.60342992,0.00000000,0.48640235,0.07600000
capacity_users,10,20001,0.92250000,38,5509.55565819,0.00000000,0.42825880,0.08500000
capacity_users,10,20002,0.92750000,38,7358.88753901,0.00000000,0.54524440,0.12800000
capacity_users,10,20003,0.90250000,38,8794.73556322,0.00000000,0.52757150,0.08700000
capacity_users,10,20004,0.93750000,38,8767.99473985,0.00000000,0.56529228,0.08100000
capacity_users,10,20005,0.93250000,38,7591.69435662,0.00000000,0.52688848,0.08400000
capacity_users,10,20006,0.92250000,38,7158.17758154,0.00000000,0.54230617,0.08300000
capacity_users,10,20007,0.93750000,39,5041.24679590,0.00000000,0.45632875,0.08900000
capacity_users,10,20008,0.93500000,39,5596.21415919,0.00000000,0.52824505,0.08300000
capacity_users,10,20009,0.93000000,39,4687.61131460,0.00000000,0.49198343,0.08400000
capacity_users,10,20010,0.93000000,38,9261.01940614,0.00000000,0.54140629,0.07700000
capacity_users,10,20011,0.91250000,38,7835.58535392,0.00000000,0.49276808,0.08500000
capacity_users,10,20012,0.90500000,38,7761.49535763,0.00000000,0.52513517,0.08100000
capacity_users,10,20013,0.92000000,38,7590.05501536,0.00000000,0.54636781,0.07800000
capacity_users,10,20014,0.92250000,38,8164.55898378,0.00000000,0.54585366,0.07800000
capacity_users,10,20015,0.94750000,39,5162.45893743,0.00000000,0.53529547,0.08300000
capacity_users,10,20016,0.94250000,39,4628.41676707,0.00000000,0.52385027,0.08400000
capacity_users,10,20017,0.91000000,37,10983.40314026,0.00000000,0.57147192,0.07600000
capacity_users,10,20018,0.92000000,38,7898.39578369,0.00000000,0.47967840,0.09800000
capacity_users,10,20019,0.91000000,37,9460.72226901,0.00000000,0.56727875,0.07900000
capacity_users,10,20020,0.92250000,38,7809.47094900,0.00000000,0.53336143,0.08300000
capacity_users,10,20021,0.93500000,38,7468.38258276,0.00000000,0.51080275,0.08800000
capacity_users,10,20022,0.94000000,38,6941.08024036,0.00000000,0.56382553,0.08600000
capacity_users,10,20023,0.92000000,39,2771.98906920,0.00000000,0.40800534,0.09400000
capacity_users,10,20024,0.92250000,37,10408.13336007,0.00000000,0.53775565,0.08000000
capacity_users,10,20025,0.92250000,38,7293.23411820,0.00000000,0.53763898,0.08100000
capacity_users,10,20026,0.93000000,38,7274.10703063,0.00000000,0.53251655,0.08100000
capacity_users,10,20027,0.93750000,39,5771.44327390,0.00000000,0.47107279,0.09000000
capacity_users,10,20028,0.92750000,38,7416.36094246,0.00000000,0.53512687,0.08500000
capacity_users,10,20029,0.92250000,38,7023.79249915,0.00000000,0.52852287,0.08300000
capacity_users,20,20000,0.99500000,24,4981.86937168,1.54849518,0.54584307,0.07400000
capacity_users,20,20001,1.00000000,26,4866.71971953,1.49915636,0.47757837,0.08000000
capacity_users,20,20002,1.00000000,24,4898.61715622,1.41952854,0.58392392,0.07800000
capacity_users,20,20003,0.99000000,26,6293.81663297,1.45834224,0.46483927,0.07700000
capacity_users,20,20004,1.00000000,28,27364.82722050,16.34048079,0.79188590,0.07300000
capacity_users,20,20005,0.99750000,32,10192.57920653,2.74560057,0.58558610,0.08300000
capacity_users,20,20006,1.00000000,29,12851.95954149,4.27656980,0.66181834,0.08100000
capacity_users,20,20007,0.99750000,28,25252.31663671,13.26936320,0.75216133,0.07700000
capacity_users,20,20008,1.00000000,25,9758.80077258,2.87970644,0.63994084,0.07100000
capacity_users,20,20009,1.00000000,23,4512.97289468,1.64575602,0.52720551,0.07700000
capacity_users,20,20010,1.00000000,29,19004.83925792,7.12891397,0.67132471,0.07300000
capacity_users,20,20011,1.00000000,26,5133.72915191,1.07190111,0.40947180,0.08200000
capacity_users,20,20012,1.00000000,30,9140.24376163,2.60146443,0.57381234,0.08200000
capacity_users,20,20013,1.00000000,24,5299.44215717,1.99076282,0.52392662,0.08100000
capacity_users,20,20014,1.00000000,31,12708.43038909,4.05371947,0.66715842,0.08100000
capacity_users,20,20015,1.00000000,25,4780.35213883,1.17508964,0.50837943,0.07900000
capacity_users,20,20016,1.00000000,28,9659.00112852,2.26622204,0.57428303,0.07500000
capacity_users,20,20017,1.00000000,31,5331.33551290,2.00072586,0.54950919,0.08200000
capacity_users,20,20018,1.00000000,26,25359.36927115,17.32667205,0.78393757,0.07300000
capacity_users,20,20019,1.00000000,30,8047.87073370,2.22062670,0.57198344,0.07800000
capacity_users,20,20020,1.00000000,24,9295.29202823,3.98308645,0.58532460,0.07300000
capacity_users,20,20021,1.00000000,28,26838.11607076,17.33272785,0.77394815,0.07200000
capacity_users,20,20022,1.00000000,30,9567.99704118,2.94899859,0.60567742,0.08100000
capacity_users,20,20023,1.00000000,28,17919.61862167,8.63787735,0.66743724,0.07200000
capacity_users,20,20024,0.99750000,33,5440.73419882,1.39687031,0.53979721,0.08500000
capacity_users,20,20025,1.00000000,27,5093.85568473,3.34495765,0.50781802,0.07900000
capacity_users,20,20026,1.00000000,26,5644.33695746,1.73413372,0.49414915,0.07900000
capacity_users,20,20027,1.00000000,28,6410.27061814,3.19907367,0.49272753,0.07700000
capacity_users,20,20028,1.00000000,29,14652.88168147,8.22142140,0.70401103,0.07700000
capacity_users,20,20029,1.00000000,28,11132.15256508,3.89930739,0.64390147,0.08300000
capacity_users,30,20000,1.00000000,20,6742.17014441,4.20616887,0.60298274,0.07200000
capacity_users,30,20001,1.00000000,25,11644.64488930,5.46357184,0.62048489,0.08000000
capacity_users,30,20002,1.00000000,26,28505.30847936,18.21191555,0.75737687,0.07400000
capacity_users,30,20003,1.00000000,26,28905.83265373,17.34494157,0.77787495,0.07700000
capacity_users,30,20004,1.00000000,26,27764.77639666,17.88407781,0.79361095,0.07800000
capacity_users,30,20005,1.00000000,26,28639.74724346,18.91428540,0.79371880,0.07600000
capacity_users,30,20006,1.00000000,27,26770.50979039,18.92848169,0.78680011,0.07700000
capacity_users,30,20007,1.00000000,26,16627.29395518,6.19449493,0.68436707,0.08100000
