N,seed,method,status,mip_gap,K,coverage,throughput_Mbps,p5_rate_Mbps,jain_fairness,solve_time_s
100,10000,rahimi_ev_reimplementation,1,0.9997225151229258,19,1.0,2935.825596111405,10.887550052271466,0.7597858388022026,3.039041599999999
100,10001,rahimi_ev_reimplementation,1,0.9997918314667554,19,1.0,2901.133984627697,11.283777636829496,0.8105371874966502,3.0143482000000006
100,10002,rahimi_ev_reimplementation,0,0.0,5,0.94,5999.482195476892,0,0.6204947328061261,2.669488600000001
100,10003,rahimi_ev_reimplementation,1,0.1666666666666662,6,0.95,7714.360223685008,0,0.5153774627522711,3.0099289999999996
100,10004,rahimi_ev_reimplementation,1,0.16666666666666638,6,0.95,4258.875994889403,0,0.6074464120598955,3.0130300000000005
100,10005,rahimi_ev_reimplementation,0,0.0,5,0.92,7170.054382492414,0,0.48534963140381704,1.7500849999999986
100,10006,rahimi_ev_reimplementation,0,0.0,5,0.94,4272.179005429726,0,0.49824369977108834,1.709423300000001
100,10007,rahimi_ev_reimplementation,0,0.0,5,0.99,4420.863195076492,5.529951653763437,0.5021356673706171,2.240625999999999
100,10008,rahimi_ev_reimplementation,1,0.16666666666666607,6,0.9,5753.493497110032,0,0.5040591388789524,3.013381599999999
100,10009,rahimi_ev_reimplementation,0,0.0,5,0.89,9827.038635970823,0,0.5363012706253464,0.9739105000000023
100,10010,rahimi_ev_reimplementation,1,0.37499999999999944,8,1.0,4715.539309018159,12.03885020604193,0.8045713760386165,3.0119428
100,10011,rahimi_ev_reimplementation,0,0.0,5,0.85,3863.1175618718657,0,0.3674843681613257,1.6534585000000064
100,10012,rahimi_ev_reimplementation,0,0.0,5,0.93,6134.1440831982545,0,0.5928919080868219,2.8859179999999967
100,10013,rahimi_ev_reimplementation,0,0.0,5,0.96,5019.585555780872,0.6498495726221378,0.5341392598097066,2.5019531999999955
100,10014,rahimi_ev_reimplementation,1,0.1666666666666662,6,0.99,4464.709823976031,13.111262074628886,0.7245072007202809,3.0446250999999975
100,10015,rahimi_ev_reimplementation,0,0.0,5,0.89,7693.726211508707,0,0.5877186019866132,1.6779219000000012
100,10016,rahimi_ev_reimplementation,0,0.0,5,0.89,5314.687578577041,0,0.4992257722598314,2.7536178000000007
100,10017,rahimi_ev_reimplementation,1,0.16666666666666,6,1.0,6691.603358727956,19.35650571832878,0.7262333651979719,3.030451499999998
100,10018,rahimi_ev_reimplementation,0,0.0,5,0.88,6294.054752739629,0,0.49328366154266134,1.0967033999999956
100,10019,rahimi_ev_reimplementation,1,0.1666666666666662,6,0.93,5989.094152991989,0,0.5373250564833412,3.013570599999994
100,10020,rahimi_ev_reimplementation,0,0.0,5,0.92,7744.925801540456,0,0.4273265617520925,1.7585172
100,10021,rahimi_ev_reimplementation,0,0.0,5,0.89,6022.702263950631,0,0.4415978382232818,2.0091917999999964
100,10022,rahimi_ev_reimplementation,0,0.0,5,0.86,3021.6034558309184,0,0.42852577018726634,1.4089327000000083
100,10023,rahimi_ev_reimplementation,0,0.0,5,0.95,4181.342989667582,0,0.5357302255678045,1.2135681999999974
100,10024,rahimi_ev_reimplementation,0,0.0,5,0.86,7088.249718303784,0,0.5352464870887602,1.952770000000001
100,10025,rahimi_ev_reimplementation,0,0.0,5,0.95,6617.47854126684,0,0.5583506590504264,1.2361020999999965
100,10026,rahimi_ev_reimplementation,1,0.16666666666666638,6,0.9,5675.853247645882,0,0.5414120896899648,3.0115387999999967
100,10027,rahimi_ev_reimplementation,0,0.0,5,0.9,4735.770844634597,0,0.5900975256989186,2.6112078999999966
100,10028,rahimi_ev_reimplementation,1,0.166666666666664,6,0.95,4870.705669787815,0,0.6507292702183038,3.0064536000000004
100,10029,rahimi_ev_reimplementation,1,0.1666666666666603,6,0.98,9014.411559089865,0.7975870767334803,0.5334159056312253,3.0222358999999983
200,10100,rahimi_ev_reimplementation,1,0.09090909090909075,11,0.915,6024.024942887329,0,0.5489675462024349,4.146154699999997
200,10101,rahimi_ev_reimplementation,1,0.9997370012886937,23,1.0,5041.1626457174925,9.502555983697198,0.742232058776634,3.0222986999999932
200,10102,rahimi_ev_reimplementation,1,0.9993759360958562,24,1.0,5502.298874607198,10.227309772493694,0.6800167349289529,3.010981799999996
200,10103,rahimi_ev_reimplementation,1,0.0,10,0.935,6551.550677019552,0,0.535172463706869,3.3471363999999966
