scenario,N,seed,method,coverage,K,throughput_Mbps,mean_user_rate_Mbps,p5_rate_Mbps,qos_violation,jain_fairness,time_s
four_cluster,100,10005,alns_no_refine,1.00000000,7,5569.86495296,55.69864953,13.55704242,0.00000000,0.60115942,0.00800000
four_cluster,100,10005,fixed_gno_refine,1.00000000,10,9062.95110811,90.62951108,20.25934421,0.00000000,0.79556394,0.01300000
four_cluster,100,10005,alns_sca_lite,1.00000000,6,10491.08849959,104.91088500,7.06376791,0.00000000,0.53056814,0.01800000
four_cluster,100,10005,pso_low_3x4,0.99000000,6,5879.94264826,58.79942648,1.26960590,0.01000000,0.56589198,0.00500000
four_cluster,100,10005,pso_mid_6x8,1.00000000,6,9318.17495073,93.18174951,16.08323180,0.00000000,0.52577228,0.02100000
four_cluster,100,10005,pso_high_12x16,1.00000000,6,9570.78324126,95.70783241,20.28147040,0.00000000,0.55272340,0.06700000
four_cluster,100,10006,kmeans_grid,0.85000000,5,10249.18552512,102.49185525,0.00000000,0.15000000,0.60231114,0.00200000
four_cluster,100,10006,gno,1.00000000,10,2945.09635657,29.45096357,5.70839777,0.00000000,0.65347465,0.00100000
four_cluster,100,10006,alns_no_refine,1.00000000,6,3700.37810259,37.00378103,1.49480363,0.00000000,0.58927876,0.00800000
four_cluster,100,10006,fixed_gno_refine,1.00000000,10,7959.90541897,79.59905419,17.53447631,0.00000000,0.74804560,0.01400000
four_cluster,100,10006,alns_sca_lite,1.00000000,7,3441.76406755,34.41764068,3.44616670,0.00000000,0.62556632,0.02100000
four_cluster,100,10006,pso_low_3x4,1.00000000,7,7065.94778379,70.65947784,13.83682746,0.00000000,0.52178585,0.00600000
four_cluster,100,10006,pso_mid_6x8,1.00000000,7,6906.90590186,69.06905902,17.12694232,0.00000000,0.69079363,0.04800000
four_cluster,100,10006,pso_high_12x16,1.00000000,7,11294.33094787,112.94330948,11.87479048,0.00000000,0.53014905,0.10900000
four_cluster,100,10007,kmeans_grid,0.90000000,5,8875.73393000,88.75733930,0.00000000,0.10000000,0.60904992,0.00100000
four_cluster,100,10007,gno,1.00000000,10,3481.54294280,34.81542943,7.37984711,0.00000000,0.64042400,0.00400000
four_cluster,100,10007,alns_no_refine,1.00000000,7,4357.84257883,43.57842579,1.78924717,0.00000000,0.60894276,0.01200000
four_cluster,100,10007,fixed_gno_refine,1.00000000,10,8150.84167261,81.50841673,18.12984216,0.00000000,0.78730130,0.02700000
four_cluster,100,10007,alns_sca_lite,1.00000000,6,7725.60350655,77.25603507,17.52751717,0.00000000,0.70717862,0.02400000
four_cluster,100,10007,pso_low_3x4,0.98000000,6,5147.95490271,51.47954903,1.08905392,0.02000000,0.46053504,0.00800000
four_cluster,100,10007,pso_mid_6x8,1.00000000,6,8175.53539723,81.75535397,16.75469415,0.00000000,0.46446480,0.01900000
four_cluster,100,10007,pso_high_12x16,1.00000000,6,8710.21647489,87.10216475,15.28817797,0.00000000,0.60508774,0.07400000
four_cluster,100,10008,kmeans_grid,0.92000000,5,10626.17226772,106.26172268,0.00000000,0.08000000,0.64263768,0.00200000
four_cluster,100,10008,gno,1.00000000,10,2809.96057987,28.09960580,11.07296241,0.00000000,0.62574658,0.00200000
